epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,50.642,2.42501,4.72135,26.3726,0.08946,5.30882,0.00333,1,0.08165,0.02885,0.00333,1,0.06324,0.03536,0.95161,1.55213,16.5054,0.03476,0,0.00042,0.00042,0.00042
2,66.9183,1.06954,1.77815,14.8545,0.03275,2.33292,0.00333,1,0.27047,0.14936,0.00333,1,0.27047,0.18192,1.44326,1.18905,17.7832,0.05626,0,0.000859854,0.000859854,0.000859854
3,83.3878,1.03413,1.22705,15.4162,0.03009,1.38434,0.0027,0.80952,0.17408,0.04234,0.00286,0.85714,0.19138,0.0441,2.45875,0.78321,21.9959,0.09577,0,0.00129912,0.00129912,0.00129912
4,99.4924,1.2165,1.05715,12.7456,0.0329,1.04087,0.00317,0.95238,0.12023,0.05594,0.00302,0.90476,0.16466,0.09151,1.46279,1.59404,18.1207,0.04894,0,0.00173734,0.00173734,0.00173734
5,115.714,1.021,1.10559,13.0484,0.0277,1.26587,0.00302,0.90476,0.03617,0.00963,0.00333,1,0.11111,0.07258,1.19227,0.61687,16.2883,0.04037,0,0.00199458,0.00199458,0.00199458
6,131.828,0.99822,0.87262,13.3186,0.02649,0.79495,0.00333,1,0.10389,0.02834,0.00333,1,0.32477,0.30678,0.9699,0.58201,15.3571,0.03381,0,0.00199153,0.00199153,0.00199153
7,148.662,1.0892,0.90271,12.0062,0.0314,1.0574,0.15678,0.28571,0.1803,0.09536,0.15678,0.28571,0.18186,0.13009,1.03435,0.80409,14.7057,0.03671,0,0.00198781,0.00198781,0.00198781
8,164.605,1.06309,0.87833,11.3267,0.02778,0.93048,0.21781,0.38095,0.23205,0.10045,0.21781,0.38095,0.26288,0.1568,1.24231,0.60927,14.4196,0.04708,0,0.00198342,0.00198342,0.00198342
9,181.625,1.06768,0.83967,11.5761,0.0292,0.65339,0.43343,0.33333,0.39529,0.22279,0.42384,0.33333,0.40186,0.27031,1.04223,1.94676,9.89641,0.03553,0,0.00197837,0.00197837,0.00197837
10,198.327,1.04302,0.91021,10.303,0.02772,0.7554,0.32778,0.20982,0.3442,0.15778,0.41,0.2381,0.41609,0.23287,1.67549,1.92377,9.45865,0.06227,0,0.00197265,0.00197265,0.00197265
11,214.783,1.10105,0.85699,10.4654,0.03166,0.81405,0.33677,0.24202,0.36004,0.15133,0.33677,0.24202,0.36004,0.26744,1.36426,1.65938,8.09737,0.05225,0,0.00196627,0.00196627,0.00196627
12,231.286,1.03945,0.76378,9.60016,0.02894,0.725,0.55505,0.38095,0.5102,0.2515,0.48471,0.38095,0.52029,0.42461,1.18083,1.07541,6.37937,0.04319,0,0.00195923,0.00195923,0.00195923
13,247.928,1.17524,0.78752,9.03275,0.03356,0.52265,0.46233,0.36907,0.51134,0.15043,0.51824,0.41049,0.5716,0.4547,1.58919,1.30761,6.44774,0.0587,0,0.00195155,0.00195155,0.00195155
