epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1438,1.95517,3.63344,23.2831,0.06846,4.2068,0.00333,1,0.13675,0.04419,0.00333,1,0.13843,0.07614,1.27366,1.35356,15.9258,0.05016,0,0.0006,0.0006,0.0006
2,92.3477,1.06851,1.20155,15.5705,0.03211,1.6927,0.00333,1,0.31981,0.14648,0.00333,1,0.3359,0.17863,1.53327,0.96287,16.6084,0.06017,0,0.00121979,0.00121979,0.00121979
3,117.177,1.15375,1.27623,13.4321,0.03117,1.52435,0.38254,0.29032,0.28544,0.0981,0.46755,0.35484,0.33839,0.17725,1.43395,0.93165,16.3402,0.05567,0,0.00183875,0.00183875,0.00183875
4,141.134,1.24096,1.16564,13.8271,0.03515,1.13545,0.00333,1,0.24125,0.08761,0.00333,1,0.2556,0.12434,0.94552,1.38117,14.3073,0.0357,0,0.00199695,0.00199695,0.00199695
5,165.253,1.24264,1.24728,12.9356,0.035,1.36047,0.13975,0.61841,0.20175,0.06077,0.16162,0.71519,0.24207,0.12619,1.11243,1.28922,13.9512,0.04378,0,0.00199458,0.00199458,0.00199458
6,189.343,1.03984,1.07386,10.914,0.02712,0.93581,0.61941,0.32258,0.51603,0.24211,0.54098,0.25806,0.48102,0.26889,1.15961,2.17681,11.8367,0.04489,0,0.00199153,0.00199153,0.00199153
7,213.857,1.10822,0.85608,10.643,0.0307,0.74501,0.47153,0.48387,0.44449,0.26228,0.47153,0.48387,0.44893,0.35677,0.91128,0.64057,9.77904,0.03642,0,0.00198781,0.00198781,0.00198781
8,238.052,1.12165,0.7176,9.83032,0.03111,0.76963,0.41481,0.54839,0.50671,0.1603,0.52868,0.5429,0.54888,0.49441,1.50385,0.61974,8.47073,0.06252,0,0.00198342,0.00198342,0.00198342
9,262.533,1.20381,0.76498,9.91879,0.03595,0.77417,0.45273,0.70968,0.48208,0.24285,0.45013,0.70968,0.49454,0.32196,1.24854,0.77834,6.08942,0.04893,0,0.00197837,0.00197837,0.00197837
10,286.581,1.21653,0.62415,8.64288,0.03413,0.47727,0.43874,0.328,0.46309,0.17098,0.51449,0.35484,0.49759,0.26242,1.54224,0.60374,5.612,0.05991,0,0.00197265,0.00197265,0.00197265
11,310.454,1.23565,0.87924,7.90568,0.03357,0.78892,0.39337,0.31403,0.35193,0.1189,0.43046,0.34164,0.39748,0.18578,1.82444,0.62297,5.30851,0.06888,0,0.00196627,0.00196627,0.00196627
12,334.9,1.26664,0.75487,7.40836,0.03505,0.56679,0.45864,0.48387,0.4466,0.16881,0.51979,0.54839,0.56323,0.28459,1.90881,0.68063,4.77754,0.07126,0,0.00195923,0.00195923,0.00195923
13,359.251,1.10994,0.60426,6.56807,0.03085,0.43721,0.50745,0.63165,0.54314,0.34048,0.51103,0.67742,0.56761,0.44943,1.12119,1.45065,3.57854,0.04376,0,0.00195155,0.00195155,0.00195155
14,384.25,1.24684,0.73513,6.72039,0.03677,0.56543,0.59469,0.58065,0.62748,0.40029,0.59469,0.58065,0.62597,0.49034,0.98204,1.06061,3.42915,0.03767,0,0.00194322,0.00194322,0.00194322
15,408.629,1.24975,0.73102,5.86042,0.0345,0.4446,0.51278,0.67905,0.63613,0.3528,0.49985,0.67702,0.58874,0.43011,1.53668,1.84549,3.56475,0.06083,0,0.00193424,0.00193424,0.00193424
16,433.079,1.30413,0.69482,5.79689,0.03715,0.54114,0.63702,0.77419,0.7631,0.51412,0.63702,0.77419,0.7631,0.68183,1.21239,0.65488,3.02968,0.04772,0,0.00192464,0.00192464,0.00192464
17,457.424,1.30493,0.60181,5.49156,0.03926,0.54952,0.80358,0.66016,0.81047,0.47455,0.80358,0.66016,0.81047,0.58361,1.51506,0.3745,3.23087,0.05947,0,0.00191441,0.00191441,0.00191441
