epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2682,0.8614,15.0132,1.22908,0.00074,0.33333,0.0005,0.00016,3.09528,73.406,3.76271,0.00056,0.00056,0.00056
2,21.3207,0.63896,3.06953,1.09324,0.00079,0.33333,0.00054,0.00014,3.43035,inf,7.32175,0.00113248,0.00113248,0.00113248
3,30.4234,0.82153,2.31286,1.17363,0.0019,0.56667,0.00607,0.00288,2.5913,4.19339,3.93838,0.0016973,0.0016973,0.0016973
4,39.7922,0.91227,1.82052,1.25481,0.02934,0.33333,0.02347,0.01119,1.67261,36.7462,2.78553,0.0019604,0.0019604,0.0019604
5,48.9421,1.02873,1.73809,1.34779,0.00133,0.6,0.00148,0.00095,2.12445,44.766,3.99052,0.0019472,0.0019472,0.0019472
6,57.8452,0.82476,1.45131,1.18843,0.08295,0.50656,0.06747,0.04368,1.2093,4.11453,1.78976,0.001934,0.001934,0.001934
7,66.869,0.65356,1.61118,1.05394,0.43433,0.66667,0.48283,0.38929,0.78108,2.08925,1.24555,0.0019208,0.0019208,0.0019208
8,76.8197,0.69137,1.32231,1.04583,0.20237,0.26667,0.08585,0.04605,2.10248,2.91113,2.46595,0.0019076,0.0019076,0.0019076
9,86.5853,0.6499,1.31502,1.06409,0.34334,0.66667,0.46139,0.36188,0.68295,1.92285,1.17408,0.0018944,0.0018944,0.0018944
10,96.2095,0.6575,1.18642,1.03749,0.39018,1,0.39276,0.30866,0.67885,2.00587,1.18321,0.0018812,0.0018812,0.0018812
11,105.286,0.59187,1.16701,1.0031,0.23109,0.23333,0.15196,0.09075,1.82505,5.67922,2.14377,0.001868,0.001868,0.001868
12,114.173,0.60811,1.19153,1.01206,0.33888,0.8,0.48414,0.4011,0.5854,1.305,1.14039,0.0018548,0.0018548,0.0018548
13,123.174,0.61056,1.20965,1.00874,0.0876,0.96667,0.08754,0.07529,0.57374,6.34738,1.09155,0.0018416,0.0018416,0.0018416
14,132.069,0.6057,1.07054,1.04996,0.35097,0.8,0.40957,0.3465,0.58877,1.44258,1.1122,0.0018284,0.0018284,0.0018284
15,141.063,0.54979,1.15471,0.97275,0.34621,0.96667,0.35979,0.31445,0.51232,1.33573,0.98552,0.0018152,0.0018152,0.0018152
16,149.991,0.56124,1.08163,0.98244,0.35,0.96667,0.39757,0.35533,0.52228,1.39065,1.00641,0.001802,0.001802,0.001802
17,158.871,0.54106,1.08136,0.97268,0.33888,0.96667,0.35261,0.29246,0.58669,1.25754,1.05785,0.0017888,0.0017888,0.0017888
18,167.804,0.54989,1.03687,0.98854,0.20703,0.56667,0.21471,0.12661,1.40726,2.62382,2.56982,0.0017756,0.0017756,0.0017756
19,176.714,0.51343,1.08371,0.97091,0.37995,0.96667,0.53124,0.48855,0.52049,1.11705,1.02766,0.0017624,0.0017624,0.0017624
20,185.743,0.51717,1.08861,0.96637,0.37512,0.96667,0.46672,0.41752,0.54525,1.1803,1.04771,0.0017492,0.0017492,0.0017492
21,194.677,0.50856,1.46872,0.93383,0.42133,0.83333,0.53527,0.46983,0.48927,1.05067,0.99625,0.001736,0.001736,0.001736
22,204.186,0.51546,1.06869,0.95182,0.37438,1,0.6324,0.56155,0.47483,1.02994,0.96062,0.0017228,0.0017228,0.0017228
23,213.276,0.48912,1.05344,0.93698,0.37006,1,0.45548,0.40009,0.49085,1.22573,0.9766,0.0017096,0.0017096,0.0017096
24,222.133,0.51492,1.01365,0.97336,0.38232,0.96667,0.55699,0.49312,0.51889,1.13413,1.02115,0.0016964,0.0016964,0.0016964
25,230.999,0.47685,1.01232,0.94241,0.37481,1,0.54181,0.48657,0.46923,1.09316,0.97942,0.0016832,0.0016832,0.0016832
26,239.876,0.48517,1.01481,0.93395,0.39587,1,0.48476,0.42893,0.46437,1.09085,0.96514,0.00167,0.00167,0.00167
27,248.796,0.49622,1.06802,0.96763,0.38943,0.63333,0.52496,0.41564,0.8583,1.35098,1.30788,0.0016568,0.0016568,0.0016568
28,257.717,0.48126,0.98466,0.93567,0.23092,0.4,0.27112,0.10676,2.02985,2.53719,2.7153,0.0016436,0.0016436,0.0016436
